MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,MEMBER_MARITAL_STATUS_embed_dim_0,MEMBER_MARITAL_STATUS_embed_dim_1,MEMBER_MARITAL_STATUS_embed_dim_2,MEMBER_GENDER_embed_dim_0,MEMBER_GENDER_embed_dim_1,MEMBERSHIP_PACKAGE_embed_dim_0,MEMBERSHIP_PACKAGE_embed_dim_1,PAYMENT_MODE_embed_dim_0,PAYMENT_MODE_embed_dim_1,PAYMENT_MODE_embed_dim_2
17.0,120549.96,699996.0,2.0,46.0,1.0,3,0.17221521265835807,558,2012,6,22,92552.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
75.0,103054.52,429996.0,1.0,28.0,0.0,1,0.2396639038502684,397,2012,11,30,56336.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,100000.0,649992.0,2.0,52.0,0.0,2,0.1538480473605829,672,2012,2,29,104624.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
36.0,240000.0,549996.0,4.0,59.0,2.0,3,0.4363668099404359,1381,2010,3,22,118590.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
12.0,100000.0,1500000.0,1.0,49.0,3.0,1,0.06666666666666667,1374,2010,3,29,98490.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
60.0,500000.0,999996.0,1.0,35.0,2.0,3,0.500002000008,1219,2010,8,31,70350.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,199999.83,300000.0,2.0,36.0,3.0,0,0.6666660999999999,366,2012,12,31,72432.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,255933.6,699996.0,1.0,58.0,2.0,2,0.3656215178372448,503,2012,8,16,116696.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
27.0,100000.0,500004.0,1.0,25.0,2.0,0,0.1999984000127999,1442,2010,1,20,50250.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,114999.96,1179996.0,2.0,65.0,2.0,2,0.09745792358618165,674,2012,2,27,130780.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,107767.26,300000.0,1.0,44.0,1.0,0,0.3592242,93,2013,9,30,88572.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
22.0,110019.24,500004.0,1.0,59.0,0.0,1,0.22003671970624236,1055,2011,2,11,118649.0,0.27973944,0.539785,0.28578463,1.1197833,-0.9323207,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
17.0,122993.76,300000.0,2.0,43.0,2.0,0,0.4099792,233,2013,5,13,86559.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
12.0,119999.88,350004.0,1.0,33.0,2.0,1,0.34285288168135225,1738,2009,3,30,66297.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
47.0,100000.0,500004.0,1.0,43.0,2.0,0,0.1999984000127999,1343,2010,4,29,86430.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
77.0,118207.66,999999996.0,1.0,11.0,0.0,2,0.00011820766047283064,520,2012,7,30,22132.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
17.0,150000.0,600000.0,1.0,37.0,1.0,1,0.25,1877,2008,11,11,74296.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,499992.0,2.0,48.0,1.0,2,0.2000032000512008,553,2012,6,27,96576.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,249996.0,1.0,34.0,3.0,2,0.4000064001024016,1077,2011,1,20,68374.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
12.0,125642.69,549996.0,1.0,67.0,1.0,2,0.22844291594847962,1021,2011,3,17,134737.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
22.0,100000.0,999996.0,1.0,24.0,0.0,1,0.1000004000016,1281,2010,6,30,48240.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
40.0,1500000.0,15500004.0,1.0,45.0,3.0,0,0.09677416857440811,1798,2009,1,29,90405.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,118203.72,600000.0,2.0,57.0,3.0,3,0.1970062,489,2012,8,30,114684.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
27.0,150000.0,350004.0,1.0,57.0,0.0,0,0.4285665306682209,1483,2009,12,10,114513.0,0.27973944,0.539785,0.28578463,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,200001.6,549996.0,1.0,46.0,0.0,0,0.3636419173957629,1737,2009,3,31,92414.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
101.0,100115.88,300000.0,1.0,29.0,0.0,2,0.3337196,855,2011,8,30,58319.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,100000.0,500004.0,1.0,39.0,2.0,1,0.1999984000127999,2024,2008,6,17,78312.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,100008.03,549996.0,6.0,66.0,0.0,2,0.1818341042480309,238,2013,5,8,132858.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
40.0,108000.0,600000.0,1.0,44.0,0.0,3,0.18,1842,2008,12,16,88352.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,120000.96,399996.0,1.0,29.0,1.0,1,0.30000540005400056,1966,2008,8,14,58232.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
17.0,100000.0,549996.0,4.0,49.0,2.0,2,0.1818195041418483,1772,2009,2,24,98441.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,700000.0,911688.0,5.0,34.0,2.0,0,0.7678065303042269,1462,2009,12,31,68306.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,100000.0,450000.0,1.0,23.0,0.0,0,0.2222222222222222,1881,2008,11,7,46184.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,100000.0,500004.0,1.0,30.0,2.0,0,0.1999984000127999,1832,2008,12,26,60240.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
27.0,100000.0,1200000.0,1.0,51.0,1.0,3,0.08333333333333333,1462,2009,12,31,102459.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,126710.64,259992.0,1.0,56.0,2.0,3,0.48736361118803656,246,2013,4,30,112728.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
12.0,100000.0,900000.0,2.0,53.0,3.0,0,0.1111111111111111,572,2012,6,8,106636.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
32.0,122839.44,399996.0,1.0,43.0,3.0,1,0.30710167101671015,154,2013,7,31,86559.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
27.0,100000.0,549996.0,6.0,72.0,0.0,1,0.1818195041418483,1372,2010,3,31,144720.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,121558.92,399996.0,1.0,40.0,2.0,3,0.30390033900339003,350,2013,1,16,80520.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,100000.0,549996.0,1.0,38.0,1.0,0,0.1818195041418483,1647,2009,6,29,76342.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,120000.0,444000.0,1.0,56.0,1.0,0,0.2702702702702703,307,2013,2,28,112728.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
12.0,939999.99,1200000.0,2.0,52.0,0.0,1,0.783333325,674,2012,2,27,104624.0,-1.3853498,0.17453381,-1.4956062,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,150000.0,549996.0,1.0,60.0,0.0,1,0.27272925621277244,1057,2011,2,9,120660.0,0.10369337,-0.9288311,-0.015264446,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
32.0,106115.52,300000.0,1.0,47.0,1.0,2,0.3537184,436,2012,10,22,94564.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
22.0,104002.5,799992.0,2.0,33.0,0.0,0,0.13000442504425044,33,2013,11,29,66429.0,0.10369337,-0.9288311,-0.015264446,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
22.0,100000.0,549996.0,1.0,62.0,0.0,0,0.1818195041418483,1437,2010,1,25,124620.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
27.0,150000.0,650004.0,1.0,24.0,3.0,0,0.2307678106596267,1462,2009,12,31,48216.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
22.0,103090.01,1200000.0,2.0,50.0,0.0,3,0.08590834166666667,37,2013,11,25,100650.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,100000.0,549996.0,6.0,58.0,3.0,0,0.1818195041418483,2137,2008,2,25,116464.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100019.2,499992.0,1.0,62.0,1.0,0,0.20004160066561064,2057,2008,5,15,124496.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,199999.0,800004.0,1.0,55.0,2.0,0,0.24999750001249993,1485,2009,12,8,110495.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,275000.07,799992.0,2.0,54.0,1.0,1,0.34375352503525036,650,2012,3,22,108648.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,101363.28,499992.0,1.0,56.0,1.0,3,0.20272980367685883,254,2013,4,22,112728.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,118205.28,1200000.0,1.0,41.0,1.0,2,0.0985044,511,2012,8,8,82492.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,130022.64,720000.0,1.0,55.0,0.0,3,0.180587,398,2012,11,29,110660.0,0.27973944,0.539785,0.28578463,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,130943.16,450000.0,1.0,28.0,2.0,3,0.2909848,62,2013,10,31,56364.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
78.0,200000.08,3499992.0,1.0,55.0,0.0,2,0.057143010612595684,33,2013,11,29,110715.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
32.0,100003.91,999996.0,2.0,58.0,0.0,1,0.10000431001724007,307,2013,2,28,116754.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
28.0,200000.0,360000.0,1.0,57.0,0.0,0,0.5555555555555556,2080,2008,4,22,114456.0,0.27973944,0.539785,0.28578463,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
25.0,100000.0,460008.0,1.0,59.0,0.0,0,0.2173875236952401,1499,2009,11,24,118531.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
22.0,100000.0,699996.0,5.0,29.0,2.0,1,0.1428579591883382,1708,2009,4,29,58261.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
12.0,200000.0,958944.0,1.0,53.0,3.0,1,0.20856275236093036,793,2011,10,31,106583.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
27.0,122823.72,549996.0,4.0,56.0,1.0,3,0.22331747867257218,156,2013,7,29,112728.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,122627.69,549996.0,6.0,62.0,0.0,3,0.2229610578986029,1108,2010,12,20,124620.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
12.0,100000.0,350004.0,1.0,41.0,1.0,0,0.28571102044548063,1139,2010,11,19,82410.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
48.0,200000.0,999996.0,1.0,47.0,3.0,1,0.2000008000032,1437,2010,1,25,94470.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,1.0033257,-0.5032684,-0.40938094
55.0,107159.0,750000.0,1.0,40.0,3.0,2,0.14287866666666665,1398,2010,3,5,80400.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
93.0,249373.36,549996.0,1.0,55.0,0.0,0,0.45340940661386625,1113,2010,12,15,110550.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
22.0,123717.72,699996.0,1.0,54.0,3.0,3,0.17674060994634255,188,2013,6,27,108702.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
21.0,199999.0,399996.0,1.0,63.0,2.0,0,0.5000025000250002,1638,2009,7,8,126567.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
96.0,311500.44,799992.0,2.0,77.0,0.0,2,0.38937944379443795,277,2013,3,30,155001.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,148454.76,999996.0,1.0,48.0,2.0,2,0.14845535382141528,294,2013,3,13,96624.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
12.0,120000.96,300000.0,1.0,42.0,2.0,1,0.4000032,366,2012,12,31,84504.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
65.0,127341.96,9999996.0,1.0,40.0,3.0,3,0.012734201093680439,196,2013,6,19,80520.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
19.0,100000.0,300000.0,1.0,30.0,0.0,2,0.3333333333333333,1596,2009,8,19,60270.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,116465.28,549996.0,6.0,68.0,3.0,3,0.21175659459341523,277,2013,3,30,136884.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279
17.0,200000.0,549996.0,6.0,77.0,0.0,1,0.3636390082836966,1227,2010,8,23,154770.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,123697.38,249996.0,1.0,53.0,3.0,3,0.4947974367589882,254,2013,4,22,106689.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
55.0,105000.46,249996.0,1.0,49.0,2.0,2,0.4200085601369622,142,2013,8,12,98637.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,100000.0,300000.0,5.0,28.0,0.0,1,0.3333333333333333,1464,2009,12,29,56252.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,100514.17,1299996.0,5.0,55.0,3.0,0,0.07731883021178526,1164,2010,10,25,110550.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
17.0,126001.04,399996.0,1.0,53.0,3.0,2,0.31500575005750053,277,2013,3,30,106689.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,1.0033257,-0.5032684,-0.40938094
12.0,100000.0,549996.0,1.0,56.0,0.0,1,0.1818195041418483,2378,2007,6,29,112392.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
34.0,100000.0,399996.0,1.0,50.0,1.0,0,0.25000250002500024,2133,2008,2,29,100400.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
